race_id,race_name,year,date,country,track,all_day,category,notes,heat_sheet_url,watch_url
pegasus-world-cup,Pegasus World Cup,2026,2026-01-24,USA,Gulfstream Park,TRUE,Dirt Classic,,,
sun-met,Sun Met,2026,2026-01-24,South Africa,Kenilworth,TRUE,Turf,,,
saudi-cup,Saudi Cup,2026,2026-02-21,Saudi Arabia,King Abdulaziz Racetrack Riyadh,TRUE,Dirt Classic,,,
australian-guineas,Australian Guineas,2026,2026-02-28,Australia,Flemington,TRUE,3yo,,,
blue-diamond-stakes,Blue Diamond Stakes,2026,2026-02-21,Australia,Caulfield,TRUE,2yo,,,
golden-slipper,Golden Slipper,2026,2026-03-21,Australia,Rosehill Gardens,TRUE,2yo Sprint,,,
dubai-world-cup,Dubai World Cup,2026,2026-03-28,UAE,Meydan,TRUE,Dirt Classic,Part of Dubai World Cup Night card,,
dubai-turf,Dubai Turf,2026,2026-03-28,UAE,Meydan,TRUE,Turf Mile,Part of Dubai World Cup Night card,,
dubai-sheema-classic,Dubai Sheema Classic,2026,2026-03-28,UAE,Meydan,TRUE,Turf,Part of Dubai World Cup Night card,,
al-quoz-sprint,Al Quoz Sprint,2026,2026-03-28,UAE,Meydan,TRUE,Turf Sprint,Part of Dubai World Cup Night card,,
godolphin-mile,Godolphin Mile,2026,2026-03-28,UAE,Meydan,TRUE,Dirt Mile,Part of Dubai World Cup Night card,,
santa-anita-handicap,Santa Anita Handicap,2026,2026-03-07,USA,Santa Anita Park,TRUE,Dirt Classic,,,
florida-derby,Florida Derby,2026,2026-03-28,USA,Gulfstream Park,TRUE,3yo Prep,,,
doncaster-mile,Doncaster Mile,2026,2026-04-04,Australia,Randwick,TRUE,Mile,Part of The Championships,,
queen-elizabeth-stakes,Queen Elizabeth Stakes,2026,2026-04-11,Australia,Randwick,TRUE,Weight-for-Age,Part of The Championships,,
sydney-cup,Sydney Cup,2026,2026-04-11,Australia,Randwick,TRUE,Staying,Part of The Championships,,
all-aged-stakes,All Aged Stakes,2026,2026-04-04,Australia,Randwick,TRUE,Sprint,Part of The Championships,,
arkansas-derby,Arkansas Derby,2026,2026-04-11,USA,Oaklawn Park,TRUE,3yo Prep,,,
blue-grass-stakes,Blue Grass Stakes,2026,2026-04-04,USA,Keeneland,TRUE,3yo Prep,,,
wood-memorial,Wood Memorial,2026,2026-04-04,USA,Aqueduct,TRUE,3yo Prep,,,
santa-anita-derby,Santa Anita Derby,2026,2026-04-04,USA,Santa Anita Park,TRUE,3yo Prep,,,
tenno-sho-spring,Tenno Sho Spring,2026,2026-04-26,Japan,Kyoto Racecourse,TRUE,Staying,,,
2000-guineas,2000 Guineas,2026,2026-05-02,United Kingdom,Newmarket,TRUE,Classic,,,
1000-guineas,1000 Guineas,2026,2026-05-03,United Kingdom,Newmarket,TRUE,Classic,,,
irish-2000-guineas,Irish 2000 Guineas,2026,2026-05-23,Ireland,Curragh,TRUE,Classic,,,
irish-1000-guineas,Irish 1000 Guineas,2026,2026-05-24,Ireland,Curragh,TRUE,Classic,,,
tattersalls-gold-cup,Tattersalls Gold Cup,2026,2026-05-23,Ireland,Curragh,TRUE,Weight-for-Age,,,
poule-dessai-des-poulains,Poule d'Essai des Poulains,2026,2026-05-10,France,ParisLongchamp,TRUE,Classic,,,
poule-dessai-des-pouliches,Poule d'Essai des Pouliches,2026,2026-05-10,France,ParisLongchamp,TRUE,Classic,,,
prix-ganay,Prix Ganay,2026,2026-04-26,France,ParisLongchamp,TRUE,Weight-for-Age,,,
prix-dispahan,Prix d'Ispahan,2026,2026-05-24,France,ParisLongchamp,TRUE,Weight-for-Age,,,
kentucky-oaks,Kentucky Oaks,2026,2026-05-01,USA,Churchill Downs,TRUE,Classic Filly,,,
kentucky-derby,Kentucky Derby,2026,2026-05-02,USA,Churchill Downs,TRUE,Classic,,,
nhk-mile-cup,NHK Mile Cup,2026,2026-05-10,Japan,Tokyo Racecourse,TRUE,3yo Mile,,,
japanese-oaks-yushun-himba,Japanese Oaks (Yushun Himba),2026,2026-05-17,Japan,Tokyo Racecourse,TRUE,Classic Filly,,,
preakness-stakes,Preakness Stakes,2026,2026-05-16,USA,Pimlico/Laurel Park,TRUE,Classic,,,
coronation-cup,Coronation Cup,2026,2026-06-05,United Kingdom,Epsom,TRUE,Weight-for-Age,,,
the-derby-epsom-derby,The Derby (Epsom Derby),2026,2026-06-06,United Kingdom,Epsom,TRUE,Classic,,,
the-oaks,The Oaks,2026,2026-06-05,United Kingdom,Epsom,TRUE,Classic Filly,,,
japanese-derby-tokyo-yushun,Japanese Derby (Tokyo Yushun),2026,2026-05-31,Japan,Tokyo Racecourse,TRUE,Classic,,,
prix-du-jockey-club,Prix du Jockey Club,2026,2026-06-07,France,Chantilly,TRUE,Classic,,,
prix-de-diane,Prix de Diane,2026,2026-06-14,France,Chantilly,TRUE,Classic Filly,,,
irish-derby,Irish Derby,2026,2026-06-27,Ireland,Curragh,TRUE,Classic,,,
irish-oaks,Irish Oaks,2026,2026-07-18,Ireland,Curragh,TRUE,Classic Filly,,,
st-jamess-palace-stakes,St James's Palace Stakes,2026,2026-06-16,United Kingdom,Royal Ascot,TRUE,Mile,,,
queen-anne-stakes,Queen Anne Stakes,2026,2026-06-16,United Kingdom,Royal Ascot,TRUE,Weight-for-Age Mile,,,
kings-stand-stakes,King's Stand Stakes,2026,2026-06-16,United Kingdom,Royal Ascot,TRUE,Sprint,,,
diamond-jubilee-stakes,Diamond Jubilee Stakes,2026,2026-06-20,United Kingdom,Royal Ascot,TRUE,Sprint,,,
gold-cup-royal-ascot,Gold Cup (Royal Ascot),2026,2026-06-18,United Kingdom,Royal Ascot,TRUE,Staying,,,
coronation-stakes,Coronation Stakes,2026,2026-06-19,United Kingdom,Royal Ascot,TRUE,3yo Filly Mile,,,
commonwealth-cup,Commonwealth Cup,2026,2026-06-19,United Kingdom,Royal Ascot,TRUE,3yo Sprint,,,
prince-of-waless-stakes,Prince of Wales's Stakes,2026,2026-06-17,United Kingdom,Royal Ascot,TRUE,Weight-for-Age,,,
yasuda-kinen,Yasuda Kinen,2026,2026-06-07,Japan,Tokyo Racecourse,TRUE,Mile,,,
takarazuka-kinen,Takarazuka Kinen,2026,2026-06-28,Japan,Hanshin Racecourse,TRUE,Weight-for-Age,,,
belmont-stakes,Belmont Stakes,2026,2026-06-06,USA,Saratoga,TRUE,Classic,Moved from Belmont Park,,
deutsches-derby,Deutsches Derby,2026,2026-07-05,Germany,Hamburg,TRUE,Classic,,,
eclipse-stakes,Eclipse Stakes,2026,2026-07-04,United Kingdom,Sandown Park,TRUE,Weight-for-Age,,,
belmont-derby,Belmont Derby,2026,2026-07-04,USA,Saratoga,TRUE,Turf 3yo,July 4th Racing Festival,,
belmont-oaks,Belmont Oaks,2026,2026-07-04,USA,Saratoga,TRUE,Turf 3yo Filly,July 4th Racing Festival,,
grand-prix-de-paris,Grand Prix de Paris,2026,2026-07-12,France,ParisLongchamp,TRUE,Classic,,,
sussex-stakes,Sussex Stakes,2026,2026-07-28,United Kingdom,Goodwood,TRUE,Mile,,,
nassau-stakes,Nassau Stakes,2026,2026-08-01,United Kingdom,Goodwood,TRUE,Weight-for-Age Filly,,,
goodwood-cup,Goodwood Cup,2026,2026-07-28,United Kingdom,Goodwood,TRUE,Staying,,,
whitney-stakes,Whitney Stakes,2026,2026-08-08,USA,Saratoga,TRUE,Weight-for-Age,,,
prix-morny,Prix Morny,2026,2026-08-16,France,Deauville,TRUE,2yo Sprint,,,
prix-jean-prat,Prix Jean Prat,2026,2026-08-02,France,Deauville,TRUE,Weight-for-Age Mile,,,
international-stakes,International Stakes,2026,2026-08-19,United Kingdom,York,TRUE,Weight-for-Age,,,
nunthorpe-stakes,Nunthorpe Stakes,2026,2026-08-21,United Kingdom,York,TRUE,Sprint,,,
yorkshire-oaks,Yorkshire Oaks,2026,2026-08-20,United Kingdom,York,TRUE,Weight-for-Age Filly,,,
juddmonte-international,Juddmonte International,2026,2026-08-19,United Kingdom,York,TRUE,Weight-for-Age,Same as International Stakes,,
pacific-classic,Pacific Classic,2026,2026-08-22,USA,Del Mar,TRUE,Dirt Classic,,,
del-mar-oaks,Del Mar Oaks,2026,2026-08-01,USA,Del Mar,TRUE,Turf 3yo Filly,,,
kings-plate,King's Plate,2026,2026-08-15,Canada,Woodbine,TRUE,Canadian Classic,,,
personal-ensign-stakes,Personal Ensign Stakes,2026,2026-08-29,USA,Saratoga,TRUE,Older Filly/Mare,Travers Day card,,
forego-stakes,Forego Stakes,2026,2026-08-29,USA,Saratoga,TRUE,Sprint,Travers Day card,,
h-allen-jerkens-memorial,H. Allen Jerkens Memorial,2026,2026-08-29,USA,Saratoga,TRUE,3yo Sprint,Travers Day card,,
ballerina-stakes,Ballerina Stakes,2026,2026-08-29,USA,Saratoga,TRUE,Filly/Mare Sprint,Travers Day card,,
travers-stakes,Travers Stakes,2026,2026-08-29,USA,Saratoga,TRUE,Classic,,,
sprinters-stakes,Sprinters Stakes,2026,2026-09-27,Japan,Nakayama Racecourse,TRUE,Sprint,,,
cheveley-park-stakes,Cheveley Park Stakes,2026,2026-09-25,United Kingdom,Newmarket,TRUE,2yo Filly Sprint,,,
middle-park-stakes,Middle Park Stakes,2026,2026-09-26,United Kingdom,Newmarket,TRUE,2yo Sprint,,,
st-leger-stakes,St Leger Stakes,2026,2026-09-12,United Kingdom,Doncaster,TRUE,Classic Staying,,,
pretty-polly-stakes,Pretty Polly Stakes,2026,2026-09-12,Ireland,Leopardstown,TRUE,Weight-for-Age Filly,,,
irish-champion-stakes,Irish Champion Stakes,2026,2026-09-12,Ireland,Leopardstown,TRUE,Weight-for-Age,,,
national-stakes,National Stakes,2026,2026-09-20,Ireland,Curragh,TRUE,2yo,,,
moyglare-stud-stakes,Moyglare Stud Stakes,2026,2026-09-13,Ireland,Curragh,TRUE,2yo Filly,,,
woodbine-mile,Woodbine Mile,2026,2026-09-12,Canada,Woodbine,TRUE,Turf Mile,,,
grosser-preis-von-baden,Grosser Preis von Baden,2026,2026-09-06,Germany,Baden-Baden,TRUE,Weight-for-Age,,,
prix-vermeille,Prix Vermeille,2026,2026-09-13,France,ParisLongchamp,TRUE,Weight-for-Age Filly,,,
prix-jean-luc-lagard-re,Prix Jean-Luc Lagardère,2026,2026-09-13,France,ParisLongchamp,TRUE,2yo,,,
shuka-sho,Shuka Sho,2026,2026-10-11,Japan,Kyoto Racecourse,TRUE,Classic Filly,,,
tenno-sho-autumn,Tenno Sho Autumn,2026,2026-10-25,Japan,Tokyo Racecourse,TRUE,Weight-for-Age,,,
cox-plate,Cox Plate,2026,2026-10-24,Australia,Moonee Valley,TRUE,Weight-for-Age,,,
caulfield-cup,Caulfield Cup,2026,2026-10-17,Australia,Caulfield,TRUE,Staying Handicap,,,
qatar-prix-de-larc-de-triomphe,Qatar Prix de l'Arc de Triomphe,2026,2026-10-04,France,ParisLongchamp,TRUE,Weight-for-Age,,,
prix-marcel-boussac,Prix Marcel Boussac,2026,2026-10-04,France,ParisLongchamp,TRUE,2yo Filly,,,
prix-de-labbaye-de-longchamp,Prix de l'Abbaye de Longchamp,2026,2026-10-04,France,ParisLongchamp,TRUE,Sprint,,,
prix-du-moulin-de-longchamp,Prix du Moulin de Longchamp,2026,2026-09-06,France,ParisLongchamp,TRUE,Mile,,,
gran-premio-del-jockey-club,Gran Premio del Jockey Club,2026,2026-10-18,Italy,Milan,TRUE,Classic,,,
qeii-champions-cup,QEII Champions Cup,2026,2026-04-26,Hong Kong,Sha Tin,TRUE,Weight-for-Age,,,
champions-mile,Champions Mile,2026,2026-05-03,Hong Kong,Sha Tin,TRUE,Mile,,,
chairmans-sprint-prize,Chairman's Sprint Prize,2026,2026-04-26,Hong Kong,Sha Tin,TRUE,Sprint,,,
